,Unnamed: 0,stars,useful,funny,cool,text,name,city,state,postal_code,latitude,longitude,review_count,is_open,categories,RestaurantsAttire,BusinessParking,Alcohol,WiFi,OutdoorSeating,RestaurantsPriceRange2,GoodForKids,BusinessAcceptsCreditCards,NoiseLevel,RestaurantsTakeOut,RestaurantsReservations,Caters,BikeParking,RestaurantsGoodForGroups,HasTV,Ambience,RestaurantsDelivery,year,preparedText,review_id,user_id,business_id,date,address,attributes,hours,DriveThru,RestaurantsTableService,GoodForMeal,BYOBCorkage,Topic0,Topic1,Topic2,Topic3,Topic4
0,0,5,0,0,0,"The food was fresh. The faces were friendly. The fries had an ample amount of cheese on them. My cat watched me intently, has I ate the whole thing.",White Castle,Grove City,OH,43123,39.879124,-83.04617,19,1,"Burgers, American (New), Fast Food, Restaurants, Food",u'casual',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",u'none','no',False,1.0,True,True,u'average',True,False,False,False,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",True,2015.0,"food fresh . face friendli . fri ampl amount chees . cat watch intent , ate whole thing .",,,,,,,,,,,,0.013832015987716573,0.11365593535028964,0.32378398141004633,0.5351302567231829,0.013597810528764473
1,1,2,0,0,0,I haven't had White Castle in about 10 years and I won't be rushing back. To me it just seems like eating a lot of bread and very little meat. The place didn't seem to be the cleanest either. I'll pass on the sliders and get a regular sandwich at another nearby restaurant.,White Castle,Grove City,OH,43123,39.879124,-83.04617,19,1,"Burgers, American (New), Fast Food, Restaurants, Food",u'casual',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",u'none','no',False,1.0,True,True,u'average',True,False,False,False,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",True,2018.0,n't white castl 10 year wo n't rush back . seem like eat lot bread littl meat . place n't seem cleanest either . 'll pass slider get regular sandwich anoth nearbi restaur .,,,,,,,,,,,,0.007348417158077095,0.06052987777543088,0.45440491802499977,0.47045795848005467,0.007258828561437532
2,2,2,0,0,0,"I don't get to go to White Castles that often. I never get to go to this location even though its close to my work, it's hard to get to during the lunch rush traffic. So on 5/14 I had a chance to visit and enjoy some sliders and a quite lunch before work. Score!

However, apparently the owners or CEOs were visiting that day and the kitchen seemed chaotic. Also when I first walk in I was the only one in the dinning room. Great! A chance to eat and read in peace. Then the place became crowded with really chatty regulars, which served to distract the staff even further. 

My 2 out of 3 of my burgers had their buns crooked, which seems odd for a food that is so uniformly served. They also seemed dry, as in lacking of grease. I'm at White Castle. I want a little grease to help this burgers slide down my throat.  The onion chips tasted watery, like biting into a mouthful of washed onion instead of crispy fried goodness.

I had to ask for a cup for my meal and then sauce because the counter service person just had to keep paying attention to the chatty regular. I felt like I had to interrupt their conversation just to get my food. OK I'm not a regular. I don't talk off your ear about how I've been eating White Castles for 50 years or how I cry every time the OSU Buckeyes lose a football game. I just want some greasy burgers and soda and I'll be out of your hair. 

Impression: Regulars and favorites get special treatment while other paying customer are ignored.  Next time just go to the drive thru.",White Castle,Grove City,OH,43123,39.879124,-83.04617,19,1,"Burgers, American (New), Fast Food, Restaurants, Food",u'casual',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",u'none','no',False,1.0,True,True,u'average',True,False,False,False,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",True,2015.0,"n't get go white castl often . never get go locat even though close work , 's hard get lunch rush traffic . 5/14 chanc visit enjoy slider quit lunch work . score ! howev , appar owner ceo visit day kitchen seem chaotic . also first walk one din room . great ! chanc eat read peac . place becam crowd realli chatti regular , serv distract staff even . 2 3 burger bun crook , seem odd food uniformli serv . also seem dri , lack greas . 'm white castl . want littl greas help burger slide throat . onion chip tast wateri , like bite mouth wash onion instead crispi fri good . ask cup meal sauc counter servic person keep pay attent chatti regular . felt like interrupt convers get food . ok 'm regular . n't talk ear 've eat white castl 50 year cri everi time osu buckey lose footbal game . want greasi burger soda 'll hair . impress : regular favorit get special treatment pay custom ignor . next time go drive thru .",,,,,,,,,,,,0.25500131146385174,0.11379301485041465,0.26225972119183516,0.3675775907454588,0.00136836174843978
3,3,1,0,0,0,"When I learned there was a White Castle close by where I was visiting, I was super excited. Well I ordered my burgers and immediately I noticed this was NOT the White Castle that I am familiar with in NY & NJ. The menu was different. Instead of onion rings, they had onion chips/pieces. Then when I bit into my burger the classic White Castle taste was nowhere to be found. They used these long onions on the burgers. Why would they do that?!?! I thought all chain restaurants used the same ingredients. In NY & NJ and Detroit.....all the onions are small little onions cut into tiny squares that really make the sandwich taste great. Needless to say I had to throw all the burgers away- they were not tasty at all. I won't be back. I thought the whole point for a chain restaurant is to get what is typical of that chain no matter where it is (no deviation). Oh well....lesson learned. I will wait until I'm in NY or NJ to get my White Caste fix.",White Castle,Grove City,OH,43123,39.879124,-83.04617,19,1,"Burgers, American (New), Fast Food, Restaurants, Food",u'casual',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",u'none','no',False,1.0,True,True,u'average',True,False,False,False,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",True,2016.0,"learn white castl close visit , super excit . well order burger immedi notic white castl familiar ny & nj . menu differ . instead onion ring , onion chips/piec . bit burger classic white castl tast nowher found . use long onion burger . would ? ! ? ! thought chain restaur use ingredi . ny & nj detroit ..... onion small littl onion cut tini squar realli make sandwich tast great . needless say throw burger away- tasti . wo n't back . thought whole point chain restaur get typic chain matter ( deviat ) . oh well .... lesson learn . wait 'm ny nj get white cast fix .",,,,,,,,,,,,0.14240477070965002,0.16850741769588526,0.002335341828646085,0.6844043865509607,0.00234808321485778
4,4,5,0,0,0,"I've been coming to this particular White Castle off and on for 15 years for their coffee and breakfast.  I'm always blown away by the above average service; it's heads and shoulders better than any fast food establishment including Starbucks.  These ladies are so genuinely sweet and accommodating.  The latest example is this morning.  I have been trying to drink more decaf coffee lately and Starbucks (my favorite coffee place) always seems so put out that they have to do a pour over.  White Castle was above and beyond sweet about making me some fresh decaf; as if they were GLAD to do it.  Thanks, Ladies.  You always make my day!",White Castle,Grove City,OH,43123,39.879124,-83.04617,19,1,"Burgers, American (New), Fast Food, Restaurants, Food",u'casual',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",u'none','no',False,1.0,True,True,u'average',True,False,False,False,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",True,2015.0,"'ve come particular white castl 15 year coffe breakfast . 'm alway blown away averag servic ; 's head shoulder better fast food establish includ starbuck . ladi genuin sweet accommod . latest exampl morn . tri drink decaf coffe late starbuck ( favorit coffe place ) alway seem put pour . white castl beyond sweet make fresh decaf ; glad . thank , ladi . alway make day !",,,,,,,,,,,,0.13724662349990122,0.44253454618487725,0.32608504573844516,0.09043584776129314,0.0036979368154832957
5,5,3,1,4,2,"TMI Warning:  I grew up on White Castles, and they don't exist in Virginia.  So every time I visit Ohio, I stop in.  They're still delicious, and I could eat probably 12 of them without batting an eye, but boy oh boy, my stomach cannot handle them anymore.  I ate just two, trying to avoid their wrath, but my stomach revolted for the next 48 hours.  No exaggeration.",White Castle,Grove City,OH,43123,39.879124,-83.04617,19,1,"Burgers, American (New), Fast Food, Restaurants, Food",u'casual',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",u'none','no',False,1.0,True,True,u'average',True,False,False,False,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",True,2013.0,"tmi warn : grew white castl , n't exist virginia . everi time visit ohio , stop . 're still delici , could eat probabl 12 without bat eye , boy oh boy , stomach handl anymor . ate two , tri avoid wrath , stomach revolt next 48 hour . exagger .",,,,,,,,,,,,0.39612408104019864,0.1772331050503897,0.16788337262146907,0.2536327671416663,0.005126674146276261
6,6,5,0,0,0,Amazing burgers. Sweet group of girls working on Thanksgiving. Someone has to feed us people on the road traveling during the holidays! Consistently awesome!,White Castle,Grove City,OH,43123,39.879124,-83.04617,19,1,"Burgers, American (New), Fast Food, Restaurants, Food",u'casual',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",u'none','no',False,1.0,True,True,u'average',True,False,False,False,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",True,2016.0,amaz burger . sweet group girl work thanksgiv . someon feed us peopl road travel holiday ! consist awesom !,,,,,,,,,,,,0.2865560316020245,0.26020717557137796,0.2880018169195149,0.1528951645660695,0.012339811341013213
7,7,4,0,0,0,"You might have to wait an extra minute or two in the drive-through, but you will get your order hot, fresh, and accurate. This place is a great White Castle and always there for a quick snack.",White Castle,Grove City,OH,43123,39.879124,-83.04617,19,1,"Burgers, American (New), Fast Food, Restaurants, Food",u'casual',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",u'none','no',False,1.0,True,True,u'average',True,False,False,False,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",True,2013.0,"might wait extra minut two drive-through , get order hot , fresh , accur . place great white castl alway quick snack .",,,,,,,,,,,,0.28055365142988176,0.15125270558828433,0.24925338523861837,0.30864397340727406,0.010296284335941337
8,8,1,1,0,0,"This place is filthy. When was the last time it was deep cleaned or cleaned at all for that matter. What a shame. Hire a professional company to come in.  The dinning area felt dirty. Bathrooms were dirty. Should have ran out.

Food was crummy only thing going for them is nastalgia of being a White Castle. Thier vanilla shake and fries were decent. Burger where tasteless.

Customer service gets a zero star. Some older lady with pins all over her hat is rude. Very brazen in the way she speaks. Not sure how she got all those pins. Looks to me like she does the easy job while making the younger girls work hard. Even though obviously no one cleans. 

Don't eat here not worth it.",White Castle,Grove City,OH,43123,39.879124,-83.04617,19,1,"Burgers, American (New), Fast Food, Restaurants, Food",u'casual',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",u'none','no',False,1.0,True,True,u'average',True,False,False,False,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",True,2017.0,place filthi . last time deep clean clean matter . shame . hire profession compani come . din area felt dirti . bathroom dirti . ran . food crummi thing go nastalgia white castl . thier vanilla shake fri decent . burger tasteless . custom servic get zero star . older ladi pin hat rude . brazen way speak . sure got pin . look like easi job make younger girl work hard . even though obvious one clean . n't eat worth .,,,,,,,,,,,,0.5384524179511064,0.02913185958034417,0.2536266519866678,0.12375515218455804,0.05503391829732347
9,9,3,0,0,1,I took my kids to White Castle bec we are visiting family in Ohio and it's a must.  They loved it.,White Castle,Grove City,OH,43123,39.879124,-83.04617,19,1,"Burgers, American (New), Fast Food, Restaurants, Food",u'casual',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",u'none','no',False,1.0,True,True,u'average',True,False,False,False,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",True,2014.0,took kid white castl bec visit famili ohio 's must . love .,,,,,,,,,,,,0.01954001108359296,0.31694803314447373,0.6261725494995597,0.018858524575213174,0.01848088169716033
